id,value
Michael Bloomberg,14464898
Michael Bloomberg.Yes on Prop V,12794399
Michael Bloomberg.SF to Reduce Diabetes in Children,1670499
Michael Bloomberg.SF to Reduce Diabetes in Children.SF Democratic Committee,5000
Michael Bloomberg.SF to Reduce Diabetes in Children.SF Democratic Committee.Aaron Peskin for Supervisor 2016,1000
Michael Bloomberg.SF to Reduce Diabetes in Children.SF Democratic Committee.Jobs Housing and Parks Now,30000
